YEAR	MONTH	DAY	MIN	MAX	RAIN	RAD
1991	01	01	7.3	14.9	0.7	3.956
1991	01	02	2.3	11.9	0	5.17
1991	01	03	5	15.4	0.1	6.312
1991	01	04	4.5	14.7	0	4.975
1991	01	05	5.1	14.1	0.5	5.622
1991	01	06	1.8	13.8	0	5.141
1991	01	07	5	15.3	0.1	5.012
1991	01	08	7.6	15	0.2	4.807
1991	01	09	5.8	14.7	0	4.675
1991	01	10	6.6	14.5	0.2	4.726
1991	01	11	6.9	14.5	0	3.865
1991	01	12	8	14.7	0.2	4.338
1991	01	13	7.4	14.1	1.5	5.452
1991	01	14	8.6	12.9	1.8	1.968
1991	01	15	5.8	11.2	0	6.87
1991	01	16	1.3	8	0	8.56
1991	01	17	0	8	0	8.59
1991	01	18	-3.3	9.8	0	9.352
1991	01	19	-4.4	12.1	0	9.253
1991	01	20	-2.9	11.7	0	8.531
1991	01	21	-3.2	11.1	0	9.694
1991	01	22	-3.5	10.1	0	9.114
1991	01	23	-1.7	10	0	9.363
1991	01	24	-4.5	10.6	0	8.412
1991	01	25	-2.6	13.2	0	10.414
1991	01	26	-1.5	12.6	0	8.564
1991	01	27	-0.4	12.3	0	10.143
1991	01	28	1.5	11.1	0	8.833
1991	01	29	-3.6	10.9	0	10.706
1991	01	30	-3.8	11.6	0	7.018
1991	01	31	1.8	8.1	0	4.191
1991	02	01	-0.4	8.3	0	10.077
1991	02	02	-0.9	6.3	0.2	8.682
1991	02	03	0.8	6.8	0	4.595
1991	02	04	-1.5	8.3	0.1	5.742
1991	02	05	-1.8	7.4	3	9.894
1991	02	06	-6.2	2.8	3.1	7.611
1991	02	07	-10	4.9	12.8	6.316
1991	02	08	3.8	11.7	0.2	6.506
1991	02	09	2.5	11.5	1.7	5.71
1991	02	10	7.7	14.2	2.7	5.181
1991	02	11	5.9	11.8	0	8.579
1991	02	12	1.1	8.5	1.2	6.033
1991	02	13	-2.9	7.9	0.2	10.977
1991	02	14	-3.1	8.2	0	11.992
1991	02	15	-3.5	7.3	0.1	12.8
1991	02	16	-2.1	7.7	0	5.822
1991	02	17	5.2	11	5.3	3.534
1991	02	18	7	12.3	2.3	4.623
1991	02	19	6.6	14.3	0	6.462
1991	02	20	5.5	13.9	0.1	7.383
1991	02	21	5.7	16.8	0	12.777
1991	02	22	3.8	15.2	0	10.411
1991	02	23	3.3	17.8	0	13.99
1991	02	24	4.6	19.8	0	14.58
1991	02	25	4.8	21.4	0	14.957
1991	02	26	3.9	16.9	0	13.711
1991	02	27	5.1	15.7	0.1	10.896
1991	02	28	8.3	12.6	1.5	4.738
1991	03	01	8.8	14.7	0.6	5.066
1991	03	02	6	17.6	0	13.303
1991	03	03	4.9	17.8	0	13.354
1991	03	04	5.1	18.1	0	12.934
1991	03	05	6.6	17.2	0.2	11.943
1991	03	06	11.9	14.6	0	3.384
1991	03	07	12.4	17.8	0	4.537
1991	03	08	14.3	19.3	6.6	4.182
1991	03	09	10.2	17.5	0.5	10.039
